Event	ID	Name			Wwise Object Path	Notes
	365677268	Ennemy_Shot			\Default Work Unit\Act2 Shmup\Ennemy_Shot	
	471840786	Floor_Impact			\Default Work Unit\Act3 Plateformer\Floor_Impact	
	871813740	Player_Hit			\Default Work Unit\Act2 Shmup\Player_Hit	
	976825339	Moove			\Default Work Unit\Act1 Course\Moove	
	979765101	Win			\Default Work Unit\UI\Win	
	1018476863	Amb_Shmup			\Default Work Unit\Act2 Shmup\Amb_Shmup	
	1302771492	Rotate			\Default Work Unit\Act1 Course\Rotate	
	1902748681	Curtain_In			\Default Work Unit\UI\Curtain_In	
	2108779966	Walk			\Default Work Unit\Act3 Plateformer\Walk	
	2249769530	UI_Click			\Default Work Unit\UI\UI_Click	
	2538128552	Curtain_Out			\Default Work Unit\UI\Curtain_Out	
	2543661333	Sound_Test			\Default Work Unit\UI\Sound_Test	
	2860608887	Course_Amb			\Default Work Unit\Act1 Course\Course_Amb	
	2988140266	Ennemy_Destroy			\Default Work Unit\Act2 Shmup\Ennemy_Destroy	
	3263329277	Amb_Plateformer			\Default Work Unit\Act3 Plateformer\Amb_Plateformer	
	3359302305	Player_Shot			\Default Work Unit\Act2 Shmup\Player_Shot	
	3833651337	Jump			\Default Work Unit\Act3 Plateformer\Jump	
	3991942870	Music			\Default Work Unit\UI\Music	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2543661333	Sound_Test			\Default Work Unit\Sound_Test	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	203960188	8bit_CoinPickUp01	.cache\59\{5917A05C-4A4F-07D1-12F4-B6C36762506A}.wem		\Containers\Default Work Unit\UI\8bit_CoinPickUp01		215556
	210326433	MECHGear_Chain Door Moving_KRTS_MD-005	.cache\14\{148A550F-DE87-B55B-C32A-C48D5FAF06EE}.wem		\Containers\Default Work Unit\UI\Rideau_Transi\Out\MECHGear_Chain Door Moving_KRTS_MD-005		254624
	221620851	Grass_LeatherShoes_FullStep_02	.cache\7D\{7D682F9C-02A8-E508-5F62-CE0A1F1C3227}.wem		\Containers\Default Work Unit\Plateformer\Jump\Foot\Grass_LeatherShoes_FullStep_02		67180
	225094670	SingleClicks01	.cache\41\{41CDA858-BBD0-C805-97A4-274E2E95842D}.wem		\Containers\Default Work Unit\UI\Click\SingleClicks01		88200
	229950963	SFX_Bubbles_5	.cache\1B\{1BCBD280-6F44-D9A5-5D66-7EF304D266D0}.wem		\Containers\Default Work Unit\Boat\Rotate\SFX_Bubbles_5		34584
	269808474	Cuir moustache	.cache\DE\{DE87E6C1-853E-DD7A-07B3-C872C38D1F11}.wem		\Containers\Default Work Unit\UI\Rideau_Transi\In\Cuir moustache		90112
	408376289	music_plage_bon	.cache\3D\{3D93E7A2-9497-D651-E2E4-4AC90B90A09A}.wem		\Containers\Default Work Unit\Music\music_plage_bon\music_plage_bon		19011680
	423578466	H-Ray_03	.cache\85\{850425A6-8521-C61E-3A37-EA8520F94662}.wem		\Containers\Default Work Unit\Shoot_Them_Up\Ennemy_Shot\H-Ray_03		605328
	427179110	PHILIPE	.cache\FB\{FBBC342A-E04A-6646-40CF-6F8D52A14719}.wem		\Containers\Default Work Unit\UI\Sound_Test\PHILIPE		565820
	427627507	Water Pouring-016	.cache\6A\{6AC6B481-BB55-E4D4-EA90-0E67D6A50BE5}.wem		\Containers\Default Work Unit\Boat\Moove\Water Pouring-016		773048
	545109682	RENDEZ LA COUROOONNNE	.cache\3F\{3FFA56DC-93E9-AD34-E0F6-81866F699A61}.wem		\Containers\Default Work Unit\UI\Sound_Test\RENDEZ LA COUROOONNNE		768144
